Id,Community
bac_12,0
bac_14,1
bac_25,2
bac_27,3
bac_30,4
bac_57,5
bac_73,6
bac_92,7
bac_123,8
bac_126,9
bac_139,10
bac_142,11
bac_144,12
bac_147,13
bac_171,14
bac_178,15
bac_537,16
arc_1,17
arc_2,18
arc_4,19
bac_5,20
bac_6,20
bac_7,20
bac_8,20
bac_11,20
bac_13,20
bac_15,20
bac_20,20
bac_22,20
bac_35,20
bac_41,20
bac_44,20
bac_45,20
bac_46,20
bac_50,20
bac_52,20
bac_55,20
bac_60,20
bac_70,20
bac_75,20
bac_83,20
bac_93,20
bac_94,20
bac_102,20
bac_114,20
bac_124,20
bac_141,20
bac_152,20
bac_158,20
bac_162,20
bac_163,20
bac_164,20
bac_188,20
bac_202,20
bac_211,20
bac_230,20
bac_295,20
bac_296,20
bac_362,20
bac_401,20
bac_457,20
bac_471,20
bac_501,20
bac_541,20
bac_552,20
bac_564,20
arc_5,20
arc_9,20
arc_11,20
arc_14,20
arc_19,20
arc_24,20
arc_29,20
arc_56,20
arc_57,20
arc_63,20
arc_68,20
arc_81,20
arc_93,20
arc_102,20
euk_7,20
euk_18,20
euk_21,20
euk_24,20
euk_26,20
euk_28,20
euk_30,20
euk_32,20
euk_62,20
euk_82,20
euk_141,20
euk_154,20
bac_1,21
bac_3,21
bac_4,21
bac_9,21
bac_17,21
bac_19,21
bac_24,21
bac_28,21
bac_29,21
bac_33,21
bac_34,21
bac_38,21
bac_39,21
bac_40,21
bac_47,21
bac_48,21
bac_49,21
bac_51,21
bac_56,21
bac_61,21
bac_65,21
bac_66,21
bac_67,21
bac_68,21
bac_69,21
bac_71,21
bac_72,21
bac_74,21
bac_76,21
bac_77,21
bac_79,21
bac_81,21
bac_82,21
bac_87,21
bac_90,21
bac_91,21
bac_95,21
bac_98,21
bac_101,21
bac_104,21
bac_105,21
bac_106,21
bac_108,21
bac_113,21
bac_117,21
bac_119,21
bac_122,21
bac_125,21
bac_130,21
bac_135,21
bac_150,21
bac_161,21
bac_169,21
bac_183,21
bac_195,21
bac_198,21
bac_199,21
bac_218,21
bac_244,21
bac_357,21
bac_436,21
bac_462,21
bac_542,21
bac_586,21
arc_6,21
arc_7,21
arc_8,21
arc_10,21
arc_17,21
arc_18,21
arc_20,21
arc_46,21
arc_60,21
arc_65,21
euk_4,21
euk_35,21
euk_93,21
euk_109,21
arc_34,22
bac_234,23
arc_96,23
bac_26,24
bac_36,24
bac_53,24
bac_84,24
bac_85,24
bac_89,24
bac_103,24
bac_219,24
bac_273,24
bac_392,24
arc_21,24
arc_37,24
arc_44,24
arc_61,24
arc_85,24
arc_111,24
euk_8,24
euk_55,24
euk_22,25
euk_37,26
euk_64,27
euk_69,28
euk_74,29
bac_10,30
euk_80,30
