Source,Target,corrWeight,Type
arc_17,bac_20,-0.871277,Undirected
arc_17,bac_45,-0.871039,Undirected
arc_6,bac_45,-0.866767,Undirected
arc_17,bac_36,-0.862421,Undirected
arc_24,bac_9,-0.860835,Undirected
arc_9,bac_40,-0.860437,Undirected
arc_9,bac_9,-0.859391,Undirected
arc_9,bac_77,-0.853855,Undirected
arc_9,bac_17,-0.853246,Undirected
euk_8,bac_8,-0.852857,Undirected
arc_14,bac_40,-0.84768,Undirected
arc_6,bac_26,-0.846913,Undirected
arc_24,bac_77,-0.846625,Undirected
arc_24,bac_17,-0.845324,Undirected
arc_6,bac_11,-0.841282,Undirected
arc_17,bac_26,-0.839539,Undirected
arc_17,bac_152,-0.838515,Undirected
euk_8,bac_94,-0.837743,Undirected
arc_9,bac_29,-0.83674,Undirected
arc_5,bac_40,-0.836241,Undirected
arc_17,bac_94,-0.83295,Undirected
arc_17,bac_8,-0.830888,Undirected
arc_6,bac_36,-0.830822,Undirected
arc_24,bac_39,-0.829175,Undirected
arc_24,bac_29,-0.828609,Undirected
arc_8,bac_26,-0.828223,Undirected
euk_8,arc_11,-0.827903,Undirected
arc_8,bac_60,-0.827722,Undirected
arc_29,bac_77,-0.826803,Undirected
arc_19,bac_9,-0.826515,Undirected
arc_17,bac_75,-0.826004,Undirected
arc_29,bac_17,-0.825725,Undirected
arc_9,bac_48,-0.8257,Undirected
euk_8,bac_152,-0.825277,Undirected
arc_24,bac_24,-0.824713,Undirected
arc_9,bac_38,-0.82422,Undirected
arc_14,bac_48,-0.823473,Undirected
euk_8,bac_20,-0.821996,Undirected
arc_9,bac_24,-0.821756,Undirected
arc_17,bac_103,-0.821693,Undirected
arc_9,bac_33,-0.821673,Undirected
arc_17,bac_102,-0.821204,Undirected
arc_6,bac_230,-0.820984,Undirected
arc_9,bac_39,-0.820582,Undirected
euk_8,bac_45,-0.82016,Undirected
arc_24,bac_33,-0.818181,Undirected
arc_6,bac_103,-0.817232,Undirected
arc_9,bac_98,-0.816801,Undirected
arc_6,bac_152,-0.815406,Undirected
